證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3701","大眾控","456000","23513000","51.50","52.20","51.10","51.40","-0.1000","306"
"3702","大聯大","2908000","251857500","86.30","87.20","85.90","86.30","0.1000","2032"
"3702A","大聯大甲特","84000","4108500","49.00","49.05","48.85","49.05","0.0000","32"
"3703","欣陸","2757000","99972400","36.10","36.60","35.70","36.50","0.4500","1854"
"3704","合勤控","940000","37978150","39.85","40.60","39.80","40.45","0.5000","611"
"3705","永信","382000","20741900","53.70","54.70","53.70","54.20","0.5000","220"
"3706","神達","6173000","282255900","46.15","46.15","45.55","45.55","-0.4000","3349"
"3708","上緯投控","2921000","406656500","142.00","143.00","135.50","138.00","-3.0000","1986"
"3711","日月光投控","8450000","1409645500","166.00","169.00","165.00","167.00","1.0000","4548"
"3712","永崴投控","2715000","137838500","50.80","51.50","50.20","50.60","-0.4000","1614"
"3714","富采","2260000","102224200","44.60","45.60","44.45","45.25","0.7000","1336"
"3715","定穎投控","4209000","260413000","61.50","62.30","61.20","62.00","0.7000","1988"
"4104","佳醫","137000","12384100","90.40","90.60","90.10","90.40","0.2000","100"
"4106","雃博","194000","5444000","27.65","28.25","27.65","28.05","0.4500","124"
"4108","懷特","112000","2227000","19.75","19.95","19.75","19.95","0.2000","88"
"4119","旭富","134000","12180800","90.70","91.50","90.30","90.80","0.7000","100"
"4133","亞諾法","942000","31691600","32.80","34.80","32.80","33.25","0.6000","569"
"4137","麗豐-KY","90000","15034000","166.50","168.00","166.00","167.50","0.5000","72"
"4142","國光生","1154000","31524400","26.95","27.50","26.85","27.35","0.5500","596"
"4148","全宇生技-KY","25000","1244250","50.30","50.30","49.45","49.80","0.3500","22"
"4155","訊映","221000","5634000","25.45","25.65","25.35","25.55","0.1000","158"
"4164","承業醫","2011000","110231300","52.80","56.50","52.80","55.00","2.2000","1268"
"4190","佐登-KY","1410000","71393250","49.20","53.50","47.50","52.60","3.8000","1105"
"4306","炎洲","6214000","128927250","21.25","21.30","20.40","20.50","-0.5000","2531"
"4414","如興","848000","2633680","3.10","3.13","3.09","3.12","0.0300","119"
"4426","利勤","202000","3482150","17.50","17.50","17.10","17.10","-0.0500","117"
"4438","廣越","51000","5808500","113.50","114.50","113.50","114.00","1.0000","42"
"4439","冠星-KY","31000","3378500","109.00","109.50","108.50","109.00","-0.5000","26"
"4440","宜新實業","75000","1917400","25.80","25.80","25.40","25.40","-0.3500","41"
"4526","東台","4231000","99700250","23.25","24.10","22.75","23.55","0.4500","1839"
"4532","瑞智","14998000","457963250","30.10","31.25","29.75","29.80","0.0500","7267"
"4536","拓凱","138000","27743500","200.50","202.00","200.50","202.00","1.0000","114"
"4540","全球傳動","357000","11451500","32.00","32.55","31.70","32.20","0.1000","239"
"4545","銘鈺","2506000","125840700","46.55","51.90","46.30","51.90","4.7000","1494"
"4551","智伸科","256000","29276500","112.00","115.50","112.00","115.00","3.5000","193"
"4552","力達-KY","224000","6276800","28.20","28.20","27.85","28.10","-0.1500","129"
"4555","氣立","121000","7169400","60.80","61.50","58.00","58.00","-3.8000","119"
"4557","永新-KY","69000","8234500","119.50","120.50","118.00","119.50","1.0000","51"
"4560","強信-KY","54000","1999900","37.00","37.10","37.00","37.00","-0.2000","18"
"4562","穎漢","20679000","1044144450","50.40","51.50","49.00","51.50","4.6000","8875"
"4564","元翎","462000","10823700","23.40","23.60","23.30","23.50","0.1000","251"
"4566","時碩工業","25177000","2389168200","93.00","99.40","90.50","99.40","9.0000","12579"
"4569","六方科-KY","8000","809500","101.00","102.00","101.00","101.00","-0.5000","8"
"4571","鈞興-KY","511000","72654500","145.00","146.50","140.00","140.00","-6.5000","434"
"4572","駐龍","170000","25738000","149.00","153.00","149.00","152.00","3.5000","131"
"4576","大銀微系統","169000","13008300","77.00","77.60","76.60","76.80","-0.2000","149"
"4581","光隆精密-KY","14000","876200","62.70","63.00","62.40","62.40","-0.3000","13"
"4583","台灣精銳","499000","141351000","275.50","289.00","275.50","283.50","14.0000","442"
"4588","玖鼎電力","1769000","212589500","126.00","126.00","116.50","119.00","-7.0000","1427"
"4720","德淵","948000","19529500","20.60","20.95","20.35","20.65","0.2500","458"
"4722","國精化","459000","20337500","44.55","44.95","43.75","44.95","1.4000","238"
"4736","泰博","848000","145436000","166.50","173.50","166.50","171.50","5.0000","627"
"4737","華廣","40000","2740200","68.60","68.60","68.40","68.40","-0.4000","34"
"4739","康普","226000","15039700","67.10","67.10","66.20","66.40","-0.7000","161"
"4746","台耀","851000","83647300","97.40","99.40","97.40","97.50","0.3000","632"
"4755","三福化","89000","12404500","139.00","140.50","138.50","139.00","-1.0000","79"
"4763","材料-KY","1677000","1423546000","838.00","862.00","837.00","838.00","0.0000","1435"
"4764","雙鍵","36000","1496300","41.90","42.90","41.25","41.50","-0.4500","26"
"4766","南寶","455000","160992000","354.50","357.50","351.00","353.50","-3.0000","386"
"4770","上品","506000","198374500","386.50","400.50","383.50","384.00","-1.0000","429"
"4771","望隼","99000","29001500","286.50","297.00","286.00","296.00","9.5000","95"
"4807","日成-KY","13000","220100","16.90","16.95","16.90","16.90","0.0000","7"
"4904","遠傳","2464000","209302200","85.70","85.70","84.60","84.60","-1.1000","1410"
"4906","正文","6032000","231500850","38.90","38.90","38.10","38.60","0.0500","2984"
"4912","聯德控股-KY","1126000","143445500","122.50","131.50","122.50","130.00","8.5000","651"
"4915","致伸","3335000","372768500","110.00","113.00","109.50","112.50","2.5000","1982"
"4916","事欣科","274000","8339150","30.40","30.55","30.30","30.30","0.1500","180"
"4919","新唐","3433000","436471500","125.00","128.00","125.00","127.00","3.0000","2384"
"4927","泰鼎-KY","520000","20231500","39.00","39.15","38.80","38.90","-0.1500","334"
"4930","燦星網","160000","5441100","33.70","34.25","33.55","33.90","0.2000","84"
"4934","太極","568000","12624900","21.90","22.40","21.90","22.25","0.3000","277"
"4935","茂林-KY","85000","5427000","64.40","64.40","63.50","63.70","-0.2000","64"
"4938","和碩","6793000","786419500","116.00","116.50","114.50","116.50","1.0000","2569"
"4942","嘉彰","89000","4136700","46.60","46.60","46.35","46.50","-0.1000","70"
"4943","康控-KY","90000","1824400","20.75","20.85","19.90","20.00","-0.8000","46"
"4949","有成精密","157000","4402550","27.75","28.45","27.75","28.30","0.5500","110"
"4952","凌通","1418000","97564400","69.10","69.90","68.20","68.50","-1.2000","1050"
"4956","光鋐","1362000","31799000","23.30","23.50","23.00","23.30","0.0000","729"
"4958","臻鼎-KY","3322000","401037000","121.00","121.50","119.50","121.50","0.5000","2064"
"4960","誠美材","2213000","31260400","14.10","14.25","14.05","14.10","0.0000","719"
"4961","天鈺","4397000","1232751000","271.50","284.00","271.00","282.00","12.0000","3189"
"4967","十銓","7426000","1199450500","161.50","163.50","161.50","161.50","-17.5000","4138"
"4968","立積","11646000","2661962000","228.00","237.00","219.00","233.50","15.0000","8446"
"4976","佳凌","2939000","144295400","50.40","50.40","48.50","48.50","-1.3500","1830"
"4977","眾達-KY","5037000","397755800","77.30","81.80","76.40","79.30","2.8000","2908"
"4989","榮科","89000","2238450","25.45","25.45","25.05","25.15","-0.1500","65"
"4994","傳奇","348000","45468000","129.50","133.50","129.00","129.00","-1.0000","271"
"4999","鑫禾","80000","2856950","35.50","36.00","35.50","35.95","0.4000","61"
"5007","三星","44000","2499700","56.80","57.00","56.70","56.80","0.0000","31"
"5203","訊連","966000","103739000","106.00","109.50","105.00","108.00","3.5000","713"
"5215","科嘉-KY","53000","2725800","51.30","51.60","51.20","51.40","-0.2000","43"
"5222","全訊","189000","30654000","162.50","163.00","161.50","162.00","-0.5000","152"
"5225","東科-KY","1064000","115821500","109.50","110.50","108.00","108.50","-1.0000","682"
"5234","達興材料","929000","146874500","161.00","162.00","156.50","158.00","-2.0000","777"
"5243","乙盛-KY","10548000","679264100","65.80","66.20","61.90","66.20","-1.1000","5449"
"5244","弘凱","200000","9321450","45.85","47.35","45.80","47.10","1.2500","133"
"5258","虹堡","1961000","261927500","132.00","135.00","131.50","134.00","2.0000","1202"
"5269","祥碩","878000","1947490000","2200.00","2260.00","2175.00","2210.00","0.0000","788"
"5283","禾聯碩","239000","25810500","108.50","108.50","107.50","108.50","0.0000","162"
"5284","jpp-KY","1361000","173178000","123.50","130.00","122.00","128.00","5.0000","949"
"5285","界霖","103000","7198400","69.90","70.30","69.50","69.70","0.1000","78"
"5288","豐祥-KY","115000","23611500","204.00","206.50","204.00","205.50","1.5000","56"
"5292","華懋","268000","46555500","178.00","178.00","170.00","174.50","-1.0000","226"
"5306","桂盟","61000","8744500","143.00","144.00","142.50","143.00","1.0000","56"
"5388","中磊","2052000","232559500","111.50","114.00","111.50","114.00","2.0000","1590"
"5434","崇越","817000","228345000","285.50","286.00","276.50","276.50","-8.0000","704"
"5469","瀚宇博","2023000","112249200","55.00","55.90","55.00","55.50","0.7000","1179"
"5471","松翰","232000","12141000","52.50","52.60","52.20","52.30","-0.1000","166"
"5484","慧友","3209000","197602900","66.50","66.50","54.80","61.00","0.5000","1854"
"5515","建國","1411000","34530650","24.90","24.90","24.30","24.30","-0.5500","672"
"5519","隆大","4140000","206136450","50.60","51.00","49.10","49.20","-0.9000","2205"
"5521","工信","2184000","27744400","12.85","12.90","12.55","12.75","0.0000","675"
"5522","遠雄","3067000","267646000","88.00","88.70","86.40","87.20","-0.6000","1684"
"5525","順天","156000","5628000","37.30","37.30","35.55","35.55","-0.7500","97"
"5531","鄉林","2835000","31960300","11.45","11.55","11.15","11.15","-0.3000","1008"
"5533","皇鼎","317000","7645900","24.05","24.30","24.05","24.15","0.1000","150"
"5534","長虹","1127000","134152000","120.00","121.00","118.00","118.50","-1.0000","656"
"5538","東明-KY","26000","838300","32.05","32.65","32.05","32.15","-0.4500","24"
"5546","永固-KY","29000","932950","32.45","32.85","32.00","32.15","-0.3500","16"
"5607","遠雄港","578000","32848200","56.80","57.10","56.50","56.90","0.6000","347"
"5608","四維航","4754000","100902400","21.30","21.45","21.00","21.15","-0.1500","1968"
"5706","鳳凰","888000","70245300","78.00","80.20","78.00","78.60","0.7000","650"
"5871","中租-KY","9805000","1571201500","157.00","161.50","156.50","161.00","4.5000","6033"
"5871A","中租-KY甲特","42000","4076900","97.00","97.20","97.00","97.20","0.1000","20"
"5876","上海商銀","2271000","103535600","45.60","45.85","45.40","45.40","0.0500","1036"
"5880","合庫金","7252000","188470650","26.00","26.05","25.90","26.00","0.0500","2484"
"5906","台南-KY","6000","397600","66.20","67.00","66.10","66.10","-0.5000","5"
"5907","大洋-KY","147000","1299630","8.73","9.02","8.73","8.84","0.0600","56"
"6005","群益證","3903000","95473850","24.45","24.65","24.30","24.30","-0.2000","1870"
"6024","群益期","1122000","68168400","60.70","61.00","60.40","60.90","0.3000","566"
"6108","競國","258000","5307950","20.55","20.90","20.40","20.65","0.0500","145"
"6112","邁達特","757000","48144800","64.60","64.60","62.90","62.90","-0.8000","573"
"6115","鎰勝","552000","31599800","56.60","57.70","56.60","57.70","1.1000","320"
"6116","彩晶","11277000","112023640","9.75","10.00","9.74","9.91","0.2000","3029"
"6117","迎廣","1786000","239994500","133.50","136.00","132.50","132.50","-0.5000","1301"
"6120","達運","5416000","88403800","16.05","16.50","16.05","16.20","0.2000","1850"
"6128","上福","246000","9469900","38.15","38.85","38.05","38.45","0.3000","153"
"6133","金橋","494000","7710900","15.30","15.80","15.30","15.65","0.3500","248"
"6136","富爾特","204000","4694250","23.10","23.10","22.95","23.10","0.0000","90"
"6139","亞翔","10340000","2353369500","235.00","235.00","224.00","226.50","-5.5000","7379"
"6141","柏承","214000","3520350","16.25","16.70","16.25","16.40","0.1500","122"
"6142","友勁","258000","2554360","9.86","9.95","9.85","9.92","0.0300","96"
"6152","百一","3093000","37931100","12.45","12.80","11.85","12.50","0.0500","1114"
"6153","嘉聯益","846000","17583050","20.60","20.95","20.55","20.85","0.2500","414"
"6155","鈞寶","1657000","49143300","28.45","30.15","28.35","29.70","1.4000","897"
"6164","華興","1656000","27192500","16.55","16.65","16.30","16.35","-0.1000","754"
"6165","浪凡","760000","30882400","40.75","41.40","40.00","40.05","0.0000","389"
"6166","凌華","4380000","343260200","74.50","80.60","74.50","79.30","5.9000","3222"
"6168","宏齊","839000","20203050","23.70","24.30","23.70","24.25","0.5500","438"
"6176","瑞儀","2414000","523527000","219.00","220.50","214.00","216.50","-2.5000","1643"
"6177","達麗","2797000","165561500","60.40","60.70","58.60","58.70","-1.5000","1768"
"6183","關貿","12000","882600","73.50","73.60","73.50","73.50","-0.1000","12"
"6184","大豐電","71000","3950600","55.50","55.90","55.50","55.80","0.4000","46"
"6189","豐藝","2178000","197898600","91.20","92.00","90.10","90.10","-1.1000","1471"
"6191","精成科","1571000","110231200","70.50","70.70","69.90","69.90","-0.5000","1117"
"6192","巨路","1053000","136453500","127.00","132.00","127.00","129.50","4.0000","667"
"6196","帆宣","676000","111284000","164.50","165.50","164.00","164.00","0.0000","554"
"6197","佳必琪","18130000","3573386500","200.00","204.00","191.00","193.50","-1.5000","12776"
"6201","亞弘電","35000","2212600","62.90","64.60","62.90","63.50","0.1000","30"
"6202","盛群","513000","30907600","59.90","60.80","59.90","60.00","-0.4000","362"
"6205","詮欣","149000","11139500","74.70","75.30","74.40","75.10","0.4000","94"
"6206","飛捷","599000","55598300","93.50","93.50","92.30","92.80","-1.3000","460"
"6209","今國光","5048000","165704500","32.50","33.70","32.20","32.25","-0.1000","2643"
"6213","聯茂","13068000","1511954000","118.00","119.50","113.00","115.00","1.0000","7157"
"6214","精誠","492000","62789000","128.50","128.50","127.00","127.00","-1.0000","362"
"6215","和椿","4015000","234751700","57.20","59.80","57.20","58.30","0.5000","2781"
"6216","居易","2784000","130955300","47.20","48.10","46.55","46.80","-1.0000","1623"
"6224","聚鼎","79000","4244100","53.50","54.00","53.50","54.00","0.4000","72"
"6225","天瀚","4000","69600","16.50","18.05","16.50","18.05","1.3500","4"
"6226","光鼎","1092000","12055200","10.80","11.20","10.80","11.05","0.3000","473"
"6230","尼得科超眾","4218000","1414815500","340.00","351.50","320.50","323.00","-9.5000","3509"
"6235","華孚","3312000","293965400","88.00","89.90","87.90","88.40","1.8000","2135"
"6239","力成","2449000","465061500","190.50","192.00","188.00","188.50","-2.0000","1693"
"6243","迅杰","701000","44675400","62.60","65.30","62.20","64.20","1.7000","453"
"6257","矽格","2890000","234121800","81.60","81.60","80.50","80.50","-0.8000","1799"
"6269","台郡","1576000","136430300","86.60","87.00","86.40","86.40","-0.2000","1100"
"6271","同欣電","1141000","176513500","156.00","157.00","153.50","153.50","-2.0000","822"
"6277","宏正","110000","9093400","82.70","82.80","82.50","82.70","0.0000","71"
"6278","台表科","5174000","623769500","120.50","122.00","118.00","122.00","4.5000","3276"
"6281","全國電","64000","5387500","84.20","84.40","84.00","84.20","0.0000","44"
"6282","康舒","6389000","243097850","38.10","38.45","37.65","37.90","0.1500","2915"
"6283","淳安","345000","10185600","29.60","29.80","29.35","29.45","-0.1000","222"
"6285","啟碁","3952000","628331500","156.00","160.50","156.00","160.00","5.5000","2664"
"6288","聯嘉","1366000","42427300","30.50","31.40","30.50","31.25","0.8500","783"
"6405","悅城","186000","4577700","24.00","25.00","24.00","24.85","0.6500","116"
"6409","旭隼","150000","264050000","1800.00","1805.00","1745.00","1760.00","-45.0000","147"
"6412","群電","819000","114751000","140.00","144.00","138.00","138.00","-2.0000","652"
"6414","樺漢","1391000","467448000","337.00","338.50","332.00","336.00","1.0000","980"
"6415","矽力*-KY","3444000","1823923000","530.00","548.00","521.00","525.00","-1.0000","2673"
"6416","瑞祺電通","438000","55638000","125.00","129.00","124.00","126.50","0.5000","344"
"6423","億而得-創","16000","1583300","99.30","99.90","98.20","99.00","-1.0000","16"
"6426","統新","473000","32199600","65.50","69.20","65.40","69.20","4.2000","361"
"6431","光麗-KY","128000","1533900","12.05","12.20","11.95","11.95","-0.1000","58"
"6438","迅得","516000","59534000","115.00","116.50","113.50","115.00","0.5000","353"
"6442","光聖","724000","218417500","296.50","309.00","293.50","309.00","26.5000","553"
"6443","元晶","1898000","51443650","26.95","27.25","26.95","27.05","0.1500","1068"
"6446","藥華藥","3485000","1712990000","485.00","500.00","483.50","487.50","5.5000","2866"
"6449","鈺邦","2114000","310844000","143.50","150.00","142.50","150.00","13.5000","975"
"6451","訊芯-KY","3570000","807599500","225.00","227.00","222.50","227.00","20.5000","1703"
"6456","GIS-KY","1186000","81224100","68.90","69.40","68.20","68.60","-0.3000","738"
"6464","台數科","27000","2284800","84.80","84.80","84.50","84.60","-0.1000","21"
"6472","保瑞","2361000","1847579000","786.00","798.00","770.00","772.00","-8.0000","1962"
"6477","安集","322000","11952700","36.90","37.30","36.90","37.20","0.3000","191"
"6491","晶碩","542000","255710500","466.00","477.00","464.00","475.00","9.0000","435"
"6504","南六","201000","15072500","74.10","76.00","74.10","74.40","0.8000","159"
"6505","台塑化","3999000","262284400","65.60","66.10","65.30","65.30","-0.6000","2553"
"6515","穎崴","653000","655232000","1005.00","1025.00","984.00","997.00","-13.0000","600"
"6525","捷敏-KY","141000","9361700","66.20","66.80","66.00","66.30","-0.2000","92"
"6526","達發","2356000","1929675000","819.00","844.00","796.00","805.00","-4.0000","2068"
"6531","愛普*","1703000","610028000","358.50","361.50","354.50","354.50","-3.5000","1450"
"6533","晶心科","496000","210537000","428.50","428.50","421.00","423.00","0.0000","456"
"6534","正瀚-創","21000","1765600","83.90","84.50","83.90","84.50","1.1000","14"
"6541","泰福-KY","105000","4278300","40.70","41.30","40.40","40.40","-0.6500","87"
"6550","北極星藥業-KY","987000","69922800","70.80","71.60","70.30","70.60","0.1000","721"
"6552","易華電","3537000","220576500","60.90","64.60","60.90","62.40","1.5000","2664"
"6558","興能高","187000","4722800","24.90","25.50","24.90","25.25","0.4000","130"
"6573","虹揚-KY","55000","778350","14.10","14.40","14.00","14.35","0.2500","34"
"6579","研揚","405000","73321500","181.00","182.50","179.50","180.50","-0.5000","317"
"6581","鋼聯","14000","1449500","103.50","104.00","103.00","103.00","-1.0000","13"
"6582","申豐","166000","8865100","52.50","53.90","52.40","53.80","1.4000","113"
"6585","鼎基","1266000","241702500","183.00","198.00","179.50","195.00","15.0000","946"
"6591","動力-KY","228000","14091200","61.90","62.20","61.40","61.60","-0.2000","166"
"6592","和潤企業","777000","87949500","112.00","114.00","112.00","114.00","3.0000","582"
"6592A","和潤企業甲特","4000","396000","99.00","99.10","98.80","99.10","0.0000","4"
"6592B","和潤企業乙特","13000","1242100","95.50","95.70","95.50","95.50","0.0000","13"
"6598","ABC-KY","868000","19361650","21.20","23.00","21.15","23.00","2.0500","394"
"6605","帝寶","468000","109154500","239.00","239.00","231.00","232.50","-4.5000","401"
"6606","建德工業","143000","3990350","28.00","28.15","27.40","27.70","-0.2000","88"
"6625","必應","131000","12902300","98.90","99.00","98.20","98.20","-0.5000","118"
"6641","基士德-KY","24000","984750","41.10","41.10","41.00","41.00","-0.0500","12"
"6645","金萬林-創","90000","3306800","37.00","37.10","36.55","36.75","-0.5000","64"
"6655","科定","3000","368000","122.50","123.00","122.50","122.50","0.0000","3"
"6657","華安","68000","3443300","51.40","51.40","50.10","51.00","0.2000","58"
"6658","聯策","2328000","124852500","50.90","54.90","50.50","51.50","1.5500","1245"
"6666","羅麗芬-KY","19000","1204500","63.90","63.90","62.90","63.60","0.7000","16"
"6668","中揚光","843000","52856800","62.70","63.60","62.00","62.60","-0.1000","457"
"6669","緯穎","1039000","2782200000","2740.00","2740.00","2655.00","2660.00","-105.0000","934"
"6670","復盛應用","551000","158032000","288.00","290.00","285.00","288.50","-2.0000","517"
"6671","三能-KY","72000","3277400","45.50","46.45","45.35","45.50","0.0000","17"
"6672","騰輝電子-KY","206000","17206100","83.80","83.80","83.20","83.20","-0.7000","139"
"6674","鋐寶科技","35000","966950","28.25","28.25","27.15","27.75","0.4000","32"
"6689","伊雲谷","899000","96682500","107.00","110.50","105.00","105.50","-2.5000","742"
"6691","洋基工程","138000","58501000","419.50","427.00","419.50","422.50","-0.5000","115"
"6695","芯鼎","2708000","196853200","70.60","73.70","70.60","73.00","2.7000","1842"
"6698","旭暉應材","226000","8286250","36.15","37.10","36.00","36.60","0.4500","153"
"6706","惠特","6572000","663898400","98.00","104.50","97.00","104.50","9.2000","3522"
"6715","嘉基","325000","61190000","189.00","191.50","186.00","186.00","-3.5000","285"
"6719","力智","900000","270571500","302.00","306.00","297.50","298.50","-1.0000","722"
"6742","澤米","262000","18845600","71.70","72.60","70.60","71.40","0.5000","197"
"6743","安普新","232000","13203500","57.70","57.70","56.60","56.60","-0.6000","180"
"6753","龍德造船","3576000","446246500","123.00","129.00","120.00","127.50","6.5000","2415"
"6754","匯僑設計","102000","6605000","64.70","65.50","64.20","64.70","0.0000","70"
"6756","威鋒電子","256000","53209500","207.00","210.00","205.00","208.50","1.5000","232"
"6757","台灣虎航-創","1177000","57234100","49.90","49.90","47.50","49.30","-0.8000","593"
"6768","志強-KY","288000","26493800","93.20","93.30","91.30","92.10","-0.8000","181"
"6770","力積電","93296000","2583178000","26.85","28.50","26.60","27.80","1.1000","30336"
"6771","平和環保-創","16000","1074100","66.90","67.50","66.80","67.10","0.1000","12"
"6776","展碁國際","68000","4312400","63.30","63.80","63.30","63.30","0.1000","43"
"6781","AES-KY","426000","259904000","627.00","628.00","602.00","603.00","-24.0000","395"
"6782","視陽","736000","196841000","267.00","271.50","262.00","270.00","2.0000","548"
"6789","采鈺","5495000","1880630500","350.50","351.00","332.50","335.00","-8.5000","4406"
"6790","永豐實","647000","34419300","52.60","53.50","52.60","53.40","0.9000","359"
"6792","詠業","29000","2378400","81.90","82.50","81.40","82.10","0.8000","17"
"6794","向榮生技-創","16000","1305100","83.80","83.80","80.80","81.80","0.4000","16"
"6796","晉弘","62000","5184200","82.50","84.30","82.50","83.50","1.0000","56"
"6799","來頡","1545000","244957000","160.00","163.00","155.50","157.00","-3.5000","1177"
"6805","富世達","2415000","1959415000","799.00","838.00","780.00","812.00","13.0000","1930"
"6806","森崴能源","4559000","630230000","138.00","139.50","136.50","138.50","1.0000","3216"
"6807","峰源-KY","280000","16487800","60.30","60.40","58.40","58.50","-1.7000","210"
"6830","汎銓","275000","38885000","143.50","143.50","140.50","140.50","-2.0000","223"
"6834","天二科技","3999000","171971300","40.20","44.20","39.70","44.20","4.0000","2365"
"6835","圓裕","413000","21950100","53.30","53.90","52.40","53.50","0.5000","300"
"6854","錼創科技-KY創","71000","5237600","73.80","75.00","73.00","73.00","-0.7000","52"
"6861","睿生光電","31000","2303100","75.00","75.00","73.90","74.10","0.4000","29"
"6863","永道-KY","774000","181717500","233.00","240.50","227.00","239.00","5.0000","633"
"6869","雲豹能源-創","1374000","197739500","141.00","147.50","140.50","144.50","4.5000","893"
"6873","泓德能源-創","431000","76097000","173.50","179.00","173.50","177.50","4.0000","304"
"6890","來億-KY","5135000","1255112500","242.50","259.50","220.00","257.50","17.5000","3259"
"6901","鑽石投資","2886000","116689550","40.35","40.85","39.90","40.70","0.6000","1237"
"6902","走著瞧-創","11000","1848000","168.50","169.00","166.00","169.00","-5.0000","10"
"6906","現觀科","37000","5686000","151.00","156.50","151.00","153.00","2.0000","34"
"6914","阜爾運通","358000","60073000","166.50","171.50","165.00","166.00","-0.5000","289"
"6916","華凌","638000","18112400","28.40","29.20","28.00","28.65","0.6500","228"
"6928","攸泰科技","197000","15453400","77.80","79.50","77.20","78.70","1.9000","139"
"6933","AMAX-KY","186000","62649000","335.50","341.50","334.00","335.50","-2.5000","169"
"6937","天虹","141000","27517000","195.00","197.50","194.50","195.00","-0.5000","93"
"6949","沛爾生醫-創","20000","2480500","124.50","125.00","123.50","124.00","0.0000","13"
"6952","大武山","470000","24771800","51.90","53.50","51.90","52.40","0.5000","360"
"8011","台通","2449000","57738500","23.65","23.80","23.35","23.45","-0.2000","1170"
"8016","矽創","465000","131044500","283.00","283.50","280.50","282.00","-1.0000","402"
"8021","尖點","572000","18324800","31.85","32.30","31.70","32.15","0.0500","337"
"8028","昇陽半導體","42080000","3446706600","77.60","85.00","76.60","83.00","5.5000","23471"
"8033","雷虎","1421000","97528200","68.50","69.60","67.50","68.80","1.3000","964"
"8039","台虹","12084000","713301600","58.80","59.60","58.20","58.60","1.0000","5152"
"8046","南電","1580000","309295500","195.50","197.00","194.50","195.50","1.5000","1198"
"8070","長華*","3039000","156304200","51.20","52.00","50.90","51.20","0.1000","1724"
"8072","陞泰","652000","19607350","29.50","30.55","29.30","30.15","0.9500","489"
"8081","致新","438000","135349000","308.00","310.50","307.50","308.00","-1.0000","384"
"8101","華冠","79000","280830","3.64","3.64","3.54","3.55","-0.0900","31"
"8103","瀚荃","10732000","614869000","57.60","59.60","55.50","58.60","2.3000","6176"
"8104","錸寶","202000","7092000","35.05","35.30","34.90","35.00","0.1500","117"
"8105","凌巨","17297000","260676100","14.20","15.40","14.15","15.25","1.2500","5570"
"8110","華東","3889000","76987300","19.80","20.00","19.55","19.90","0.1000","1560"
"8112","至上","5919000","505456000","84.80","86.30","84.60","85.00","0.3000","3771"
"8112A","至上甲特","38000","1652050","43.50","43.50","43.45","43.50","0.0500","13"
"8114","振樺電","966000","149856000","156.50","160.00","153.00","155.50","-3.5000","735"
"8131","福懋科","486000","18727650","38.50","38.70","38.40","38.70","0.2000","208"
"8150","南茂","2414000","108267050","45.10","45.10","44.60","44.60","-0.2000","1423"
"8162","微矽電子-創","10000","384950","38.55","38.80","38.40","38.40","-0.1500","7"
"8163","達方","1395000","94931100","68.40","68.40","67.70","68.40","0.0000","791"
"8201","無敵","280000","5324550","18.60","19.25","18.60","19.00","0.4500","154"
"8210","勤誠","2970000","908773000","302.50","311.00","300.00","310.50","6.5000","2212"
"8213","志超","469000","18327600","38.65","39.35","38.60","39.20","0.5500","277"
"8215","明基材","447000","14653650","32.70","32.95","32.65","32.85","0.1500","275"
"8222","寶一","429000","18938250","44.35","44.40","43.85","44.15","0.2500","305"
"8249","菱光","91000","2677000","29.70","29.70","29.35","29.40","-0.1000","55"
"8261","富鼎","2026000","175515200","84.60","87.50","84.50","86.50","3.0000","1476"
"8271","宇瞻","580000","39629000","68.30","68.60","68.00","68.40","0.3000","380"
"8341","日友","83000","8191700","98.60","98.90","98.40","98.90","0.5000","75"
"8367","建新國際","20000","992200","49.85","49.90","49.45","49.55","-0.0500","17"
"8374","羅昇","1657000","128106900","73.10","79.20","73.10","79.20","7.2000","746"
"8404","百和興業-KY","406000","8572850","21.40","21.40","20.95","21.00","0.1000","194"
"8411","福貞-KY","52000","724100","13.95","14.00","13.90","14.00","-0.0500","31"
"8422","可寧衛","350000","66979500","191.50","192.00","190.50","191.50","0.0000","299"
"8429","金麗-KY","311000","3117770","10.10","10.15","9.96","10.05","0.0500","117"
"8438","昶昕","508000","20051450","40.80","40.80","38.95","38.95","-1.3500","389"
"8442","威宏-KY","147000","17818500","119.50","123.00","119.50","121.50","2.0000","74"
"8443","阿瘦","26000","316800","12.20","12.20","12.15","12.15","-0.0500","20"
"8454","富邦媒","1781000","780851000","428.50","447.00","428.00","442.00","17.0000","1484"
"8462","柏文","16000","1916500","119.50","120.00","119.50","120.00","0.5000","16"
"8463","潤泰材","99000","2896950","29.25","29.35","29.20","29.30","-0.0500","69"
"8464","億豐","554000","204033000","363.00","375.00","362.00","370.00","8.0000","434"
"8466","美吉吉-KY","140000","8966000","64.80","65.00","63.30","63.40","-1.6000","106"
"8467","波力-KY","1499000","278438000","178.00","193.50","176.00","186.50","10.0000","1159"
"8473","山林水","483000","19697700","41.60","41.60","40.30","40.40","-1.0500","346"
"8476","台境","133000","7998900","59.70","60.40","59.70","60.20","0.1000","79"
